Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
American Samoa,ASM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.36,2.327,2.305,2.286,..
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,77380,78364,79705,80856,81938
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Andorra,AND,Agricultural land (sq. km),AG.LND.AGRI.K2,187.773,187.562,187.562,187.408,..
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470,470,470,470,..
Andorra,AND,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625,4039844390.22543
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.78673935,8.33450699,7.53678846,7.92821121,..
Andorra,AND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.028,1.058,1.071,1.082,..
Andorra,AND,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.7,2.7,2.6,2.5,..
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..
Andorra,AND,Real interest rate (%),FR.INR.RINR,..,..,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,33451132,34532429,35635029,36749906,37885849
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,15.766,14.094,..,..
Angola,AGO,Agricultural land (sq. km),AG.LND.AGRI.K2,458640,459170,460620,460630,..
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700,1246700,1246700,1246700,..
Angola,AGO,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,48501561203.5686,66505129987.7235,104399746853.401,84875162197.0107,80396942241.6233
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.27488494,3.09277129,2.92737579,..,..
Angola,AGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.371,5.304,5.209,5.124,..
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,42.3,40.9,39.6,38.3,..
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715,28.2404948915773
Angola,AGO,Real interest rate (%),FR.INR.RINR,8.02865685720961,-13.9893722416012,5.63414289798035,-0.577616516625203,-4.6631221155489
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91846,92349,92840,93316,93772
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,5.37,..
Antigua and Barbuda,ATG,Agricultural land (sq. km),AG.LND.AGRI.K2,90,90,90,90,..
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440,440,440,440,..
Antigua and Barbuda,ATG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1411637037.03704,1602125925.92593,1866566666.66667,2005785185.18518,2224814814.81481
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.72944784,4.99196768,5.7299943,..,..
Antigua and Barbuda,ATG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.569,1.58,1.58,1.578,..
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.8,7.7,7.5,7.3,..
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.625989707046714,2.06299638545329,7.53107834634287,5.06713865364216,6.19886698842119
Antigua and Barbuda,ATG,Real interest rate (%),FR.INR.RINR,6.84865145111171,2.35704800577082,0.500681463519473,1.71819620277611,0.194074975349491
Argentina,ARG,"Population, total",SP.POP.TOTL,45191965,45312281,45407904,45538401,45696159
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,11.461,8.736,6.805,6.139,1.694
Argentina,ARG,Agricultural land (sq. km),AG.LND.AGRI.K2,1176790,1179780,1188480,1161363.431,..
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690,2736690,2736690,2736690,..
Argentina,ARG,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,385740508436.965,486564085480.036,632790070063.124,646075277525.125,633266692533.689
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.45030594,10.03832245,9.86305332,..,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.601,1.585,1.482,1.5,..
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.7,8.5,8.3,8.2,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,42.0150947376509,48.4093786255199,72.430757531824,133.488935594175,219.883929014578
Argentina,ARG,Real interest rate (%),FR.INR.RINR,-7.63517421630372,-11.8618379642845,-10.2880388687473,-16.7714229083122,-47.4845124119095
Armenia,ARM,"Population, total",SP.POP.TOTL,2961500,2962300,2969200,2964300,3033500
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.055,8.418,8.262,8.298,..
Armenia,ARM,Agricultural land (sq. km),AG.LND.AGRI.K2,16760,16748.2,16528,16523,..
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28197.41,28197.09,28198.32,28199.44,..
Armenia,ARM,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359,25786585949.6346
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,12.24056244,12.32268524,9.96212864,..,..
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.7,1.7,1.7,1.9,..
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,10.2,9.7,9.3,8.9,..
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.2114357783847,7.18483629443367,8.64091108973852,1.98041877615558,0.269511978259078
Armenia,ARM,Real interest rate (%),FR.INR.RINR,9.63911034441928,4.54758816004105,3.45742932557653,9.45938580289314,11.8504108518486
Aruba,ABW,"Population, total",SP.POP.TOTL,108587,107700,107310,107359,107624
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Aruba,ABW,Agricultural land (sq. km),AG.LND.AGRI.K2,20,20,20,20,..
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180,180,180,180,..
Aruba,ABW,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155,..
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.662,1.631,1.615,1.602,..
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..,..,..,..,..
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..
Aruba,ABW,Real interest rate (%),FR.INR.RINR,7.82593553186391,11.8970840161137,2.85265433875112,-0.852277920562397,..
Australia,AUS,"Population, total",SP.POP.TOTL,25649248,25685412,26014399,26652777,27204809
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.394,5.022,3.728,3.668,3.942
Australia,AUS,Agricultural land (sq. km),AG.LND.AGRI.K2,3557750,3635190,3635190,3632436.782,..
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7692020,7692020,7692020,7692020,..
Australia,AUS,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61,1752193307380.34
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.66040134,10.42525291,9.92687893,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.581,1.7,1.63,1.5,..
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.2,3.2,3.2,3.1,..
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.846905537459283,2.86391042204996,6.59409671341846,5.59701492537313,3.16161428305747
Australia,AUS,Real interest rate (%),FR.INR.RINR,..,..,..,..,..
Austria,AUT,"Population, total",SP.POP.TOTL,8916864,8955797,9041851,9131761,9178482
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.201,6.459,4.992,5.264,5.161
Austria,AUT,Agricultural land (sq. km),AG.LND.AGRI.K2,26026.653,26024.884,25974.477,25972.63,..
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82520,82520,82520,82520,..
Austria,AUT,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,434397601557.696,480467037338.783,471773629830.381,511685203845.001,521642466921.745
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.31641102,12.15228558,11.15729332,10.87779903,..
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.44,1.48,1.41,1.32,..
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.9,2.8,2.7,2.6,..
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.38191063351859,2.7666666666667,8.54686993188449,7.81413417002833,2.93791574279385
Austria,AUT,Real interest rate (%),FR.INR.RINR,..,..,..,..,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121,10137750,10141756,10153958,10202850
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.24,6.04,5.65,..,..
Azerbaijan,AZE,Agricultural land (sq. km),AG.LND.AGRI.K2,47801,47806,47805,47796,..
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,82646,82650,82650,82650,..
Azerbaijan,AZE,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,42693000000,54825411764.7059,78807470588.2353,72428470588.2353,74315882352.9412
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.84817696,4.68526697,3.97840643,..,..
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.7,1.52,1.67,1.55,..
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,15.6,14.8,14.1,13.3,..
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.75980947008127,6.65029912708779,13.8522590144267,8.78543049849081,2.21217188919901
Azerbaijan,AZE,Real interest rate (%),FR.INR.RINR,26.670417865412,-4.24617334716223,-16.5227722214354,25.6817085152421,16.3088883984831
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395863,396373,397538,399440,401283
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,8.645,..
"Bahamas, The",BHS,Agricultural land (sq. km),AG.LND.AGRI.K2,130,130,130,130,..
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010,10010,10010,10010,..
"Bahamas, The",BHS,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,10363200000,12037000000,13896800000,15271300000,15832800000
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.59303093,7.0057478,7.21692038,..,..
"Bahamas, The",BHS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.386,1.382,1.379,1.373,..
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.8,11.7,11.6,11.4,..
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0385210980054084,2.90491262928485,5.60540633583038,3.05291578969747,0.409162489083242
"Bahamas, The",BHS,Real interest rate (%),FR.INR.RINR,6.7297976353956,5.53842631434141,0.120443761596612,-2.2407872885972,3.95002563934325
Bahrain,BHR,"Population, total",SP.POP.TOTL,1472204,1504365,1524693,1577059,1588670
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Bahrain,BHR,Agricultural land (sq. km),AG.LND.AGRI.K2,81,81,81,81,..
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,785,790,790,800,..
Bahrain,BHR,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,35837632978.7234,40840212765.9574,46458191489.3617,46192260638.2979,47736702127.6596
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.7196188,4.49223804,3.83745313,..,..
Bahrain,BHR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.86,1.852,1.839,1.824,..
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.6,6.8,7,7.2,..
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-2.31770629331375,-0.606319385140878,3.62574104304489,0.0746206782191527,0.919635459817729
Bahrain,BHR,Real interest rate (%),FR.INR.RINR,..,..,..,..,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,166298024,167658854,169384897,171466990,173562364
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,4.593,3.352,..
Bangladesh,BGD,Agricultural land (sq. km),AG.LND.AGRI.K2,94300,94180,94270,93990,..
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170,130170,130260,129980,..
Bangladesh,BGD,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119424622.389
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.27063942,2.36551309,2.39038587,..,..
Bangladesh,BGD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.175,2.173,2.179,2.163,..
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,24.9,24.5,24.4,24.4,..
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.69107474746208,5.54565430773475,7.69695437176898,9.88350303779208,10.4657482763412
Bangladesh,BGD,Real interest rate (%),FR.INR.RINR,4.2891862514626,3.07621573539091,1.9724805725071,0.629461237622801,2.77841343288586
Barbados,BRB,"Population, total",SP.POP.TOTL,281698,282147,282318,282336,282467
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,11.015,7.261,6.54,..
Barbados,BRB,Agricultural land (sq. km),AG.LND.AGRI.K2,100,100,100,100,..
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430,430,430,430,..
Barbados,BRB,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5168344450,5275242050,6257303500,6720733200,7165000000
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.27405739,7.93866014,6.29389191,..,..
Barbados,BRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.708,1.709,1.712,1.708,..
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,10.2,9.9,9.6,9.3,..
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,9.79207077126447,-0.462229168356189
Barbados,BRB,Real interest rate (%),FR.INR.RINR,2.79323419017551,5.5905647657326,7.33623872506533,..,..
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952,9302585,9228071,9178298,9133712
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.049,3.9,3.574,3.461,..
Belarus,BLR,Agricultural land (sq. km),AG.LND.AGRI.K2,82810,81740,80940,80340,..
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202980,202950,202990,202983,..
Belarus,BLR,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,75961865471.9129
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.40607214,6.56549978,6.65919876,..,..
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.369,1.371,1.326,1.208,..
Belarus,BLR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.2,2.1,2,1.9,..
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.54814357456511,9.46028389623105,15.209675274081,5.00059903091313,5.78531910427999
Belarus,BLR,Real interest rate (%),FR.INR.RINR,-2.54292951691091,-4.51680261378975,-1.88800246769209,1.77288530685339,1.12514415571695
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604,11586195,11680210,11787423,11876844
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.545,6.248,5.57,5.547,5.701
Belgium,BEL,Agricultural land (sq. km),AG.LND.AGRI.K2,13646.093,13656.7,13590,13533,..
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,30494,30494,30494,30494,..
Belgium,BEL,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,529694473501.791,598522422241.851,593614574325.878,644655275111.58,664564181486.953
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,11.26481915,11.04724503,10.76192474,..,..
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.55,1.6,1.53,1.47,..
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.2,3.2,3.1,3,..
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.740791812220353,2.44024851144083,9.59751172872501,4.04901077613945,3.14349136500037
Belgium,BEL,Real interest rate (%),FR.INR.RINR,..,..,..,..,..
Belize,BLZ,"Population, total",SP.POP.TOTL,390812,395346,402733,411106,417072
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Belize,BLZ,Agricultural land (sq. km),AG.LND.AGRI.K2,1800,1820,1820,1820,..
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810,22810,22810,22810,..
Belize,BLZ,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2042850000,2420550000,2846700000,3066850000,3515783328.91079
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.35447645,5.05842113,4.23173904,..,..
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.04,1.837,1.949,2.007,..
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.1,11,10.9,10.8,..
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.121434644614868,3.23563659237068,6.27689319447547,4.38984017487678,3.28955985952764
Belize,BLZ,Real interest rate (%),FR.INR.RINR,9.44776634843508,7.75862589812764,1.18509513714019,1.8099744501983,2.28295650520934
Benin,BEN,"Population, total",SP.POP.TOTL,13070169,13413417,13759501,14111034,14462724
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,1.685,..,..
Benin,BEN,Agricultural land (sq. km),AG.LND.AGRI.K2,44330.486,46234.245,48557.123,47167.523,..
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760,112760,112760,112760,..
Benin,BEN,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,15686741893.5187,17687623534.6665,17425405083.8797,19673290995.8491,21482643720.2743
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.7123611,2.58129549,2.67981386,..,..
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.795,4.707,4.634,4.556,..
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,50.4,49.1,47.7,46.4,..
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.02272119663757,1.73353962694033,1.35077863583529,2.73870078406076,1.16093089640415
Benin,BEN,Real interest rate (%),FR.INR.RINR,3.55709341440007,4.55750151392328,..,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,64382,64648,64749,64698,64636
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Bermuda,BMU,Agricultural land (sq. km),AG.LND.AGRI.K2,3,3,3,3,..
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54,54,54,54,..
Bermuda,BMU,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..,..
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6887364000,7290037000,7874381000,8579242000,8980200000
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..
